#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string
#group,false,false,true,true,false,false,true,true
#default,_result,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:00:47.057Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:00:49.057Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:01:38.257Z,14,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:01:40.257Z,13,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:01:47.057Z,13,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:01:49.057Z,13,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:02:49.057Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:03:49.057Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:04:49.057Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:05:49.057Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:06:40.257Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:06:49.057Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:07:49.057Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:08:49.057Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:09:49.057Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:10:49.057Z,12,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:11:40.257Z,13,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:11:49.057Z,14,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:12:49.057Z,13,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:13:49.057Z,15,value,ASA1321L
