#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,status,type
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-19T23:56:20Z,3143000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-21T11:44:44Z,3526000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-21T15:03:06Z,4053000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-24T07:19:52Z,40000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-24T11:12:47Z,308000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-24T15:08:42Z,308000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-24T19:06:00Z,220000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-24T23:01:49Z,216000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-25T02:57:48Z,209000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-25T06:52:11Z,299000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-25T11:38:02Z,3200000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-25T14:43:56Z,293000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-25T20:37:43Z,290000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-26T00:35:03Z,195000,duration,FDEvent,1,start
