#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,id,object
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-19T23:56:20Z,3143,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-21T11:44:44Z,3526,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-21T15:03:06Z,4053,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-24T07:19:52Z,40,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-24T11:12:47Z,308,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-24T15:08:42Z,308,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-24T19:06:00Z,220,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-24T23:01:49Z,216,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-25T02:57:48Z,209,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-25T06:52:11Z,299,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-25T11:38:02Z,3200,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-25T14:43:56Z,293,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-25T20:37:43Z,290,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-26T00:35:03Z,195,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-26T04:31:00Z,191,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-26T08:25:19Z,283,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-26T12:21:12Z,275,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-26T16:17:09Z,273,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-26T20:13:00Z,271,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-27T00:10:19Z,174,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-27T04:06:20Z,164,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-27T08:02:05Z,172,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-27T11:56:28Z,256,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-27T15:52:24Z,254,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-27T21:46:45Z,215,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-28T01:44:20Z,95,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-28T05:40:17Z,89,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-28T09:34:20Z,207,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-28T11:09:14Z,2099,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-28T12:34:56Z,1570,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-28T14:17:01Z,2362,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-28T21:22:01Z,194,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-29T01:17:52Z,189,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-29T05:13:53Z,180,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-29T13:53:31Z,3249,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-30T00:53:12Z,164,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-30T04:49:17Z,149,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-30T08:45:04Z,154,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-06-30T22:30:45Z,131,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-01T02:26:43Z,116,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-01T06:22:43Z,107,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-01T10:18:28Z,113,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-01T21:02:42Z,75,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-02T00:58:24Z,81,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-02T02:02:25Z,49,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-02T12:45:49Z,101,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-02T13:20:26Z,1543,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-02T14:35:08Z,2137,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-02T22:35:19Z,127,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-03T02:31:04Z,125,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-03T18:14:24Z,132,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-03T22:10:10Z,152,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-04T02:05:54Z,150,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-04T06:01:47Z,189,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-04T17:49:14Z,195,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-04T23:42:54Z,217,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-05T03:38:38Z,214,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-06T03:13:27Z,233,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-06T07:09:21Z,235,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-06T11:05:12Z,235,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-06T15:00:54Z,244,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-06T18:57:38Z,32,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-06T22:53:04Z,88,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-07T02:48:16Z,252,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-07T06:44:07Z,250,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-09T11:36:48Z,3485,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-12T06:56:52Z,3156,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-14T13:28:51Z,3390,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-16T14:17:48Z,520,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-16T15:07:07Z,3092,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-24T12:55:11Z,1650,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-24T14:08:59Z,1353,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-25T12:35:00Z,1382,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-27T15:38:57Z,1386,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-07-29T14:28:52Z,1359,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-03T13:58:02Z,1623,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-03T15:11:13Z,1375,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-04T13:32:28Z,1602,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-04T14:45:16Z,1373,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-07T13:47:58Z,40,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-07T15:45:55Z,22,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-07T17:43:46Z,15,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-07T23:36:47Z,67,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-08T01:34:28Z,82,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-08T03:32:10Z,87,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-08T05:29:56Z,88,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-08T07:27:56Z,76,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-08T09:25:51Z,71,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-08T11:23:33Z,85,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-08T15:19:02Z,98,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-08T17:16:52Z,95,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-08T19:14:46Z,88,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-08T21:12:30Z,100,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-09T03:05:49Z,121,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-09T05:03:37Z,121,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-09T07:01:30Z,118,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-09T08:59:30Z,109,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-09T10:57:18Z,116,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-09T16:50:37Z,130,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-09T18:48:32Z,122,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-09T20:46:17Z,131,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T00:41:57Z,142,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T04:37:28Z,154,duration,sci,S1BS,Mars
